127.0.0.1 - - [12/Apr/2021:16:54:43 +0900] "GET / HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [12/Apr/2021:16:54:44 +0900] "GET /responsive_web/index.html HTTP/1.1" 200 5851
0:0:0:0:0:0:0:1 - - [12/Apr/2021:16:54:44 +0900] "GET /responsive_web/css/main.css HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [12/Apr/2021:16:54:44 +0900] "GET /responsive_web/images/kitty.png HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [12/Apr/2021:16:54:51 +0900] "GET /responsive_web/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:16:54:51 +0900] "GET /responsive_web/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:16:54:52 +0900] "GET /responsive_web/images/kitty.png HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [12/Apr/2021:16:55:06 +0900] "GET /responsive_web/index.html HTTP/1.1" 200 5851
0:0:0:0:0:0:0:1 - - [12/Apr/2021:16:55:06 +0900] "GET /responsive_web/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:16:55:06 +0900] "GET /responsive_web/images/kitty.png HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [12/Apr/2021:16:55:07 +0900] "GET /favicon.ico HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [12/Apr/2021:16:58:06 +0900] "GET /responsive_web/main.css HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [12/Apr/2021:17:00:03 +0900] "GET /responsive_web/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:17:00:03 +0900] "GET /responsive_web/images/kitty.png HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [12/Apr/2021:17:02:52 +0900] "GET /responsive_web/index.html HTTP/1.1" 200 5840
0:0:0:0:0:0:0:1 - - [12/Apr/2021:17:02:52 +0900] "GET /responsive_web/1.jpg HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [12/Apr/2021:17:02:55 +0900] "GET /responsive_web/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:17:02:55 +0900] "GET /responsive_web/1.jpg HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [12/Apr/2021:17:03:01 +0900] "GET /responsive_web/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:17:03:01 +0900] "GET /responsive_web/1.jpg HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [12/Apr/2021:17:03:52 +0900] "GET /responsive_web/index.html HTTP/1.1" 200 5850
0:0:0:0:0:0:0:1 - - [12/Apr/2021:17:03:52 +0900] "GET /imeges/1.jpg HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [12/Apr/2021:17:04:20 +0900] "GET /responsive_web/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:17:04:20 +0900] "GET /imeges/1.jpg HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [12/Apr/2021:17:04:58 +0900] "GET /responsive_web/index.html HTTP/1.1" 200 5850
0:0:0:0:0:0:0:1 - - [12/Apr/2021:17:04:58 +0900] "GET /imeges/2.jpg HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [12/Apr/2021:17:05:02 +0900] "GET /responsive_web/index.html HTTP/1.1" 200 5850
0:0:0:0:0:0:0:1 - - [12/Apr/2021:17:05:02 +0900] "GET /imeges/2.jpg HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [12/Apr/2021:17:07:07 +0900] "GET /responsive_web/index.html HTTP/1.1" 200 5847
0:0:0:0:0:0:0:1 - - [12/Apr/2021:17:07:07 +0900] "GET /responsive_web/imeges/2.jpg HTTP/1.1" 200 160972
