127.0.0.1 - - [15/Apr/2021:10:50:13 +0900] "GET / HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [15/Apr/2021:10:50:14 +0900] "GET /javascript_jquery/jQuery.html HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [15/Apr/2021:10:50:14 +0900] "GET /javascript_jquery/js/jQuery3.x/jquery-3.6.0.js HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [15/Apr/2021:10:50:25 +0900] "GET /javascript_jquery/jQuery.html HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [15/Apr/2021:10:50:25 +0900] "GET /javascript_jquery/js/jQuery3.x/jquery-3.6.0.js HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [15/Apr/2021:10:50:25 +0900] "GET /favicon.ico HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [15/Apr/2021:10:50:48 +0900] "GET /javascript_jquery/jQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2021:10:50:48 +0900] "GET /javascript_jquery/js/jQuery3.x/jquery-3.6.0.js HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [15/Apr/2021:10:54:48 +0900] "GET /javascript_jquery/jQuery.html HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [15/Apr/2021:10:54:48 +0900] "GET /javascript_jquery/js/js.3.x.x/jquery-3.6.0.js HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [15/Apr/2021:10:54:53 +0900] "GET /javascript_jquery/jQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2021:10:54:53 +0900] "GET /javascript_jquery/js/js.3.x.x/jquery-3.6.0.js HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [15/Apr/2021:10:55:02 +0900] "GET /javascript_jquery/jQuery.html HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [15/Apr/2021:10:55:02 +0900] "GET /javascript_jquery/js/js.3.x.x/jquery-3.6.0.js HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [15/Apr/2021:10:55:08 +0900] "GET /javascript_jquery/jQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2021:10:55:08 +0900] "GET /javascript_jquery/js/js.3.x.x/jquery-3.6.0.js HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [15/Apr/2021:10:55:14 +0900] "GET /javascript_jquery/jQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2021:10:55:14 +0900] "GET /javascript_jquery/js/js.3.x.x/jquery-3.6.0.js HTTP/1.1" 404 1121
